gare;city
BRUYÈRES (VOSGES);BRUYÈRES
BOUZONVILLE;BOUZONVILLE
THIONVILLE;THIONVILLE
CORCIEUX LE CONTI;LA HOUSSIÈRE
ARCHES;ARCHES
BRUYÈRES CHANZY GARE;BRUYÈRES
HERBITZHEIM R. HAMBACH;HERBITZHEIM
HERBITZHEIM MAIRIE;HERBITZHEIM
BERTHELMING;BERTHELMING
METZ-VILLE;METZ
KESKASTEL;KESKASTEL
BAR-LE-DUC;BAR-LE-DUC
CONFLANS-JARNY;JARNY
FIGEAC;FIGEAC
MAZAMET;MAZAMET
MURET;MURET
PAU;DAMIATTE
AGEN;AGEN
LONGAGES-NOÉ;LONGAGES
MONTRÉJEAU-GOURDAN-POL.;GOURDAN-POLIGNAN
AX-LES-THERMES;AX-LES-THERMES
FOIX;FOIX
SOUILLAC;SOUILLAC
ALBI-VILLE;ALBI-VILLE
COMINES (FRANCE);COMINES
ABBEVILLE;ABBEVILLE
LENS;LENS
AVESNES;AVESNES-SUR-HELPE
ARRAS;ARRAS
HAZEBROUCK;HAZEBROUCK
BUSIGNY;BUSIGNY
CALAIS FRÉTHUN;ARQUES
COUTANCES;COUTANCES
BAGNOLES- ORNE EGL.MAD.;BAGNOLES- ORNE EGL.MAD.
ALENÇON;ALENCON
L'AIGLE;AIGLE (L')
LISIEUX;LISIEUX
DIVES-CABOURG;DIVES-SUR-MER
EVREUX;LE VIEIL-ÉVREUX
VILLEDIEU (GARE);VILLEDIEU-LES-POÊLES
BRÉAUTÉ-BEUZEVILLE;BRÉAUTÉ
MANTES-LA-JOLIE;MANTES-LA-VILLE
PONT-AUDEMER;PONT-AUDEMER
ROUEN-GARE-ROUTIÈRE;ROUEN-GARE-ROUTIÈRE
BOURG-ACHARD CHAMP DE F;BOURG-ACHARD CHAMP DE F
NANTES;NANTES
CHOLET;CHOLET
ALBERT;ALBERT
BEAUVAIS;BEAUVAIS
HIRSON;HIRSON
CHATELLERAULT;CHATELLERAULT
MAUZÉ;MAUZENS-ET-MIREMONT
NIORT;BEAUVOIR-SUR-NIORT
BRESSUIRE;BRESSUIRE
LA ROCHE-SUR-YON;ROCHE-SUR-YON (LA )
VALENCE-TGV;ALIXAN
ST-ANDRÉ-LE-GAZ;SAINT-ANDRÉ-LE-GAZ
LOZANNE;LOZANNE
LAMURE-SUR-AZERGUES;LAMURE-SUR-AZERGUES
BOIS-D'OINGT-LÉGNY;LÉGNY
DIE;SAINT-DIE
VEYNES-DÉVOLUY;VEYNES
LUC-EN-DIOIS;LUC-EN-DIOIS
EVIAN-LES-BAINS;ÉVIAN-LES-BAINS
ST-ÉTIENNE-CHÂTEAUCREUX;SAINT-ETIENNE
MODANE;MODANE
ANNONAY;ANNONAY
PRIVAS;PRIVAS
MOÛTIERS-SALINS-BRIDES;MOÛTIERS
BONNEVILLE;BONNEVILLE
AUBENAS;AUBENAS
BOURG-EN-BRESSE GARE R;BOURG-EN-BRESSE
OYONNAX;OYONNAX
CHAMBÉRY;CHAMBERY
MONTÉLIMAR;MONTELIMAR
ST-CLAUDE;SAINT-CLAUDE
THONON-LES-BAINS;THONON-LES-BAINS
FRANOIS;FRANOIS
AUXONNE;TILLENAY
BELLEGARDE;BELLEGARDE-SUR-VALSERINE
AMBÉRIEU;AMBERIEU-EN-BUGEY
BOËN;BOËN
MONTBRISON;MONTBRISON
NOIRÉTABLE;NOIRÉTABLE
CLELLES-MENS;CLELLES
VIF;VIF
SAIN-BEL;SAIN-BEL
ARGENTINE;ARGENTINE
ST-PRIEST;SAINT-PRIEST-TAURION
VILLEFRANCHE-SUR-SAÔNE;VILLEFRANCHE-SUR-SAONE
LA TOUR-DU-PIN;LA TOUR-DU-PIN
FEURS;FEURS
ALBENS;ALBENS
SÉRÉZIN;SÉRÉZIN-DU-RHÔNE
COMMUNAY;COMMUNAY
EPIERRE-ST-LÉGER;ÉPIERRE
ST-JEAN-DE-MAURIENNE-A.;SAINT-JEAN-DE-MAURIENNE
AITON;AITON
CHINON;CHÂTEAU-CHINON(CAMPAGNE)
CHINON-LYCÉE-RABELAIS;CHINON-LYCÉE-RABELAIS
TOURS;JOUE-LES-TOURS
CHÂTEAU-DU-LOIR;CHÂTEAU-DU-LOIR
DROUÉ (CENTRE);DROUÉ (CENTRE)
COURTALAIN-CENTRE;COURTALAIN-CENTRE
CHARTRES-GARE-ROUTIÈRE;CHARTRES-GARE-ROUTIÈRE
BROU;MARCHEZAIS
VENDÔME;VILLIERS-SUR-LOIR
AUBIGNY-SUR-NERE-MAIL;AUBIGNY-SUR-NERE-MAIL
GIEN;GIEN
COSNE-SUR-LOIRE;COSNE-COURS-SUR-LOIRE
BOURGES-GARE-ROUTIÈRE;BOURGES-GARE-ROUTIÈRE
CHÂTEAUROUX GARE ROUT.;CHATEAUROUX
VIERZON;VIERZON
ISSOUDUN;ISSOUDUN
LE-BLANC-PL-DU-BATEAU;LE-BLANC-PL-DU-BATEAU
NOUAN-LE-FUZELIER;NOUAN-LE-FUZELIER
CHAUMONT-SUR-THARONNE;CHAUMONT-SUR-THARONNE
LAMOTTE-BEUVRON;LAMOTTE-BEUVRON
CHÂTEAUROUX-LY-B-PASCAL;CHÂTEAUROUX-LY-B-PASCAL
CHÂTEAUROUX-LYCÉE-AGRIC;CHÂTEAUROUX-LYCÉE-AGRIC
THESEE;THÉSÉE
ROMORANTIN-BA-G.R.;ROMORANTIN-BA-G.R.
LOCHES;LOCHES
BUZANÇAIS;BUZANÇAIS
CHATILLON-MAIL;CHATILLON-MAIL
CLION-SUR-INDRE;CLION
CORMERY;CORMERY
CHAMBOURG-CHOPIN;CHAMBOURG-CHOPIN
LOCHES-LYCEE-ST-DENIS;LOCHES-LYCEE-ST-DENIS
ESVRES;ESVRES
LA DOUZILLÈRE;JOUE-LES-TOURS
LOCHES-LEP;LOCHES-LEP
CHÂTEAUDUN;CHATEAUDUN
CHÂTEAUDUN-LEP-PAULSEN;CHÂTEAUDUN-LEP-PAULSEN
CHÂTEAU-RENAULT;CHÂTEAU-RENAULT
LUNÉVILLE;LUNEVILLE
LUNEVILLE-LP;LUNEVILLE-LP
LUNÉVILLE (CITÉ SCOLAI);LUNEVILLE
REMIREMONT;REMIREMONT
LONGWY;LONGWY
BUSSANG;BUSSANG
BRESSE-CLAUDEL (LA);BRESSE-CLAUDEL (LA)
AUDUN-LE-ROMAN;AUDUN-LE-ROMAN
MARLE-SUR-SERRE;MARLE
BARENTONÂ CEL;BARENTONÂ CEL
BARENTON-SUR-SERRE;BARENTON-SUR-SERRE
NEUSTADT (WEINSTR) HBF;NEUSTADT (WEINSTR) HBF
WINDEN PFALZ;WINDEN PFALZ
LANDAU-PFALZ-HBF;LANDAU-PFALZ-HBF
FOUGÈRES;PLEINE-FOUGÈRES
GRASSE;GRASSE
MENTON;MENTON
CANNES-LA-BOCCA;CANNES
MONACO-MONTE-CARLO;MONACO-MONTE-CARLO
CANNES;CANNES
SAARBRÜCKEN /SARREBRUCK;SAARBRÜCKEN /SARREBRUCK
MOMMENHEIM;MOMMENHEIM
LUXEMBOURG;LUXEMBOURG
PERPIGNAN;PERPIGNAN
NARBONNE;NARBONNE
NÎMES;MANDUEL
PORT-BOU;CHOUZÉ-SUR-LOIRE
MONTPELLIER-ST-ROCH;MONTPELLIER
OFFENBURG;OFFENBURG
KEHL;KEHL
MULHOUSE;MULHOUSE
FREIBURG-BREISGAU;FREIBURG-BREISGAU
BETTEMBOURG;BETTEMBOURG
GENÈVE;GENÈVE
ST-PIERRE-DES-CORPS;SAINT-PIERRE-DES-CORPS
ROESCHWOOG;ROESCHWOOG
THANN-SAINT-JACQUES;THANN-SAINT-JACQUES
ERSTEIN;ERSTEIN
BAYONNE;BAYONNE
MONT-DE-MARSAN;MONT-DE-MARSAN
BORDEAUX-ST-JEAN;BORDEAUX
LESPARRE;LESPARRE-MÉDOC
DAX;SAINT-PAUL-LES-DAX
ARCACHON;ARCACHON
CONDAT-LE-LARDIN;LE LARDIN-SAINT-LAZARE
BEDOUS;BEDOUS
OLORON-STE-MARIE;OLORON-SAINTE-MARIE
BIDOS;BIDOS
BERGERAC;BERGERAC
LIBOURNE;LIBOURNE
COMMENTRY;COMMENTRY
FIRMINY;FIRMINY
DIJON-PORTE-NEUVE;DIJON
AVALLON;AVALLON
CHAGNY;CHAGNY
BESANÇON-FRANCHE-COMTÉ;AUXON-DESSUS
RENNES;RENNES
MONTAUBAN-DE-BRETAGNE;MONTAUBAN-DE-BRETAGNE
MESSAC-GUIPRY;MESSAC
REDON;ENSUÈS-LA-REDONNE
BESLÉ;GUÉMENÉ-PENFAO
BREST;BREST
LANDERNEAU;LANDERNEAU
LANNION;LANNION
GUINGAMP;GUINGAMP
CARHAIX;CARHAIX-PLOUGUER
PORT-DE-PILES;LA CELLE-SAINT-AVANT
CHÂTEAUROUX;CHATEAUROUX
ARGENTON-SUR-CREUSE;ARGENTON-SUR-CREUSE
PORT-BOULET;CHOUZÉ-SUR-LOIRE
REIMS;REIMS
RETHEL;RETHEL
LAON;CHIVRES-EN-LAONNOIS
DORMANS;DORMANS
CULMONT-CHALINDREY;CHALINDREY
CERBÈRE;CERBÈRE
LE GRAU-DU-ROI;LE GRAU-DU-ROI
CASTELNAUDARY;CASTELNAUDARY
MARVEJOLS;MARVEJOLS
LE DORAT;LE DORAT
LIMOGES-BÉNÉDICTINS;LIMOGES
ST-YRIEIX-LA-PERCHE;ST-YRIEIX-LA-PERCHE
NEXON;NEXON
OBJAT;OBJAT
BARONCOURT;DOMMARY-BARONCOURT
HAGONDANGE;MONDELANGE
LIVERDUN;LIVERDUN
CASTRES;CASTRES
CAPDENAC;CAPDENAC-GARE
AUCH;LE PARCQ
L'ISLE-JOURDAIN (GERS);L'ISLE-JOURDAIN (GERS)
COLOMIERS;COLOMIERS
CAHORS;CAHORS
BOUSSENS;BOUSSENS
LOURDES;LOURDES
DOUAI;DOUAI
JEUMONT;JEUMONT
CHARLEROI SUD;CHARLEROI SUD
DUNKERQUE;GRANDE-SYNTHE
ANGERS-ST-LAUD;ANGERS
CONNERRÉ-BEILLÉ;BEILLÉ
LAVAL;LAVAL-DE-CÈRE
TERGNIER;TERGNIER
CREIL;CREIL
ST QUENTIN;ST QUENTIN
ABANCOURT;ABANCOURT
ANGOULÊME;ANGOULEME
LA ROCHELLE-VILLE;ROCHELLE (LA )
LA-ROCHELLE-PORTE-DAUPHINE;LA-ROCHELLE-PORTE-DAUPHINE
AIX-EN-PROVENCE-TGV;AIX-EN-PROVENCE
ROANNE;ROANNE
LA ROCHE-SUR-FORON;LA ROCHE-SUR-FORON
CHEDDE;PASSY
KRIMMERI-MEINAU;STRASBOURG
OBERNAI;OBERNAI
LUTTERBACH TRAM-TRAIN;LUTTERBACH
MULHOUSE-VILLE;MULHOUSE
NIEDERBRONN;NIEDERBRONN-LES-BAINS
EPERNAY;EPERNAY
PARIS-EST;PARIS-EST
CHAMPAGNE-ARDENNE;BEZANNES
CHÂTEAU-THIERRY;ÉTAMPES-SUR-MARNE
LONGUEVILLE (S.-ET-M.);LONGUEVILLE
BÉTHUNE;BETHUNE
LILLE EUROPE;LILLE
CLERMONT-DE-L'OISE;CLERMONT
CRÉPY-EN-VALOIS;CREPY-EN-VALOIS
OISSEL;OISSEL
FÉCAMP;FECAMP
ELBEUF-ST-AUBIN;SAINT-AUBIN-LES-ELBEUF
